date,cv_role,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10,r_target,target_level
2016-01-28,always train (rows 1-551),4.281014,4.424358,1.640003,0.717162,8.914032,2.257957,15.521427,0.655004,0.107683,-0.040778,0.552858,1893.359985
2016-01-29,always train (rows 1-551),1.743977,1.640300,5.820192,3.454133,1.116973,-7.609977,2.841169,2.983892,2.121849,1.958799,2.476022,1940.239990
2016-02-01,always train (rows 1-551),1.237286,1.218115,-0.689790,-0.934853,-2.003813,-2.076664,2.566608,-0.855360,-0.067010,1.580914,-0.044324,1939.380005
2016-02-02,always train (rows 1-551),1.315545,1.682188,-3.125561,-2.022183,-2.228352,-3.950871,-0.417046,-2.300643,-0.919837,-1.674534,-1.874309,1903.030029
2016-02-03,always train (rows 1-551),-4.037592,-4.930350,-1.584907,1.979229,5.215197,-1.675243,-3.809094,0.429595,0.705943,1.422518,0.499204,1912.530029
2016-02-04,always train (rows 1-551),-2.582128,-2.605405,-0.306763,0.803474,1.720155,0.977274,-1.952277,0.950574,-0.230428,-0.375303,0.152673,1915.449951
2016-02-05,always train (rows 1-551),-3.598487,-3.451925,-3.538480,-2.670799,0.313188,-0.690525,-6.364447,-5.810467,-3.233942,1.070806,-1.848125,1880.050049
2016-02-08,always train (rows 1-551),0.056833,-0.121445,-1.495200,1.052993,1.348644,0.173832,-2.794097,-4.151053,1.452211,-0.451269,-1.415394,1853.439941
2016-02-09,always train (rows 1-551),-0.445914,-0.678128,-0.263082,-0.021045,-0.435158,0.741444,-1.235404,-0.210538,-0.029414,-1.162767,-0.066362,1852.209961
2016-02-10,always train (rows 1-551),0.831627,0.886285,0.872562,-0.757999,-0.911587,-0.892577,1.744559,1.466745,-0.235372,-0.339025,-0.018895,1851.859985
